date,regionnavn,tests,cases,pospct,rm
2020-04-10,Midtjylland,404,17,0.04207920792079208,0.06256669825412862
2020-04-11,Midtjylland,421,34,0.08076009501187649,0.06072005036372825
2020-04-12,Midtjylland,296,21,0.07094594594594594,0.057566693212484525
2020-04-13,Midtjylland,372,31,0.08333333333333333,0.05527960511275811
2020-04-14,Midtjylland,984,46,0.046747967479674794,0.052923144295851696
2020-04-15,Midtjylland,1002,27,0.02694610778443114,0.0470207243587888
2020-04-16,Midtjylland,1162,42,0.03614457831325301,0.04491127140663921
2020-04-17,Midtjylland,899,23,0.025583982202447165,0.036159553401950074
2020-04-18,Midtjylland,431,17,0.03944315545243619,0.03104540163478068
2020-04-19,Midtjylland,267,15,0.056179775280898875,0.02944015431330749
2020-04-20,Midtjylland,1178,26,0.022071307300509338,0.02626941931202449
2020-04-21,Midtjylland,1644,18,0.010948905109489052,0.02411248426784688
2020-04-22,Midtjylland,2037,32,0.015709376534118802,0.02039396291934899
2020-04-23,Midtjylland,2294,32,0.013949433304272014,0.013677295484596268
2020-04-24,Midtjylland,2575,27,0.010485436893203883,0.011309660433463204
2020-04-25,Midtjylland,2162,29,0.01341350601295097,0.01078041535443525
2020-04-26,Midtjylland,1637,15,0.00916310323762981,0.009281636579193689
2020-04-27,Midtjylland,3274,18,0.005497861942577886,0.007889821931330655
2020-04-28,Midtjylland,3313,24,0.00724418955629339,0.007188873883427251
2020-04-29,Midtjylland,3258,17,0.0052179251074278695,0.0064827997201443045
2020-04-30,Midtjylland,3328,14,0.004206730769230769,0.005913211177176189
2020-05-01,Midtjylland,2868,16,0.005578800557880056,0.005461678209877491
2020-05-02,Midtjylland,2361,20,0.00847098686997035,0.004803105196920013
2020-05-03,Midtjylland,1932,10,0.005175983436853002,0.004371199708169475
2020-05-04,Midtjylland,3423,8,0.0023371311714869996,0.00435048651600015
2020-05-05,Midtjylland,3037,8,0.0026341784655910436,0.004019758946560366
2020-05-06,Midtjylland,2734,6,0.0021945866861741038,0.003090280328313128
2020-05-07,Midtjylland,2462,10,0.004061738424045491,0.0026699691108156725
2020-05-08,Midtjylland,1532,5,0.0032637075718015664,0.002468205260176962
2020-05-09,Midtjylland,1527,3,0.0019646365422396855,0.002137814058154014
2020-05-10,Midtjylland,1343,3,0.0022338049143708115,0.002022921268237787
2020-05-11,Midtjylland,3244,3,9.247842170160296e-4,0.0016807681600408124
2020-05-12,Midtjylland,3111,1,3.214400514304082e-4,0.0014956007442954266
2020-05-13,Midtjylland,2877,4,0.0013903371567605145,0.0016170696769864294
2020-05-14,Midtjylland,2400,4,0.0016666666666666668,0.0020877661217396566
2020-05-15,Midtjylland,2033,4,0.001967535661583866,0.002296253545778239
2020-05-16,Midtjylland,1421,4,0.0028149190710767065,0.0024922183045284685
2020-05-17,Midtjylland,1447,8,0.0055286800276434,0.002293598710705538
2020-05-18,Midtjylland,2936,7,0.0023841961852861036,0.0021359863699946056
2020-05-19,Midtjylland,2953,5,0.0016931933626820183,0.0020643777983146315
2020-05-20,Midtjylland,2839,0,0,0.001830017662584103
2020-05-21,Midtjylland,1775,1,5.633802816901409e-4,0.0010402062300636171
2020-05-22,Midtjylland,2046,3,0.001466275659824047,7.376108034497584e-4
2020-05-23,Midtjylland,1703,2,0.0011743981209630064,5.820445526738637e-4
2020-05-24,Midtjylland,1738,0,0,6.771875049596731e-4
2020-05-25,Midtjylland,3759,1,2.6602819898909286e-4,5.967046075753673e-4
2020-05-26,Midtjylland,3310,2,6.042296072507553e-4,3.87236656171932e-4
2020-05-27,Midtjylland,3003,2,6.66000666000666e-4,2.1946549603435968e-4
2020-05-28,Midtjylland,2327,0,0,2.1946549603435968e-4
2020-05-29,Midtjylland,1937,0,0,4.675572143172454e-4
2020-05-30,Midtjylland,1068,0,0,5.368565016723351e-4
2020-05-31,Midtjylland,1323,0,0,4.417135493865257e-4
2020-06-01,Midtjylland,1498,3,0.0020026702269692926,8.198425670073379e-4
2020-06-02,Midtjylland,2754,3,0.0010893246187363835,8.198425670073379e-4
2020-06-03,Midtjylland,2279,0,0,9.249618774246617e-4
2020-06-04,Midtjylland,1889,5,0.0026469031233456856,9.249618774246617e-4
2020-06-05,Midtjylland,1276,0,0,7.847876249508636e-4
2020-06-06,Midtjylland,1359,1,7.358351729212656e-4,6.793479546441506e-4
2020-06-07,Midtjylland,1340,0,0,7.794931651994558e-4
2020-06-08,Midtjylland,2937,3,0.0010214504596527069,4.599601864864134e-4
2020-06-09,Midtjylland,2847,1,3.5124692658939234e-4,7.090572097769851e-4
2020-06-10,Midtjylland,2853,2,7.010164738871364e-4,7.782602213329901e-4
2020-06-11,Midtjylland,2438,1,4.1017227235438887e-4,8.742018887991707e-4
2020-06-12,Midtjylland,2294,4,0.0017436791630340018,7.782479156743474e-4
2020-06-13,Midtjylland,1639,2,0.0012202562538133007,9.758275752869921e-4
2020-06-14,Midtjylland,1489,1,6.71591672263264e-4,0.0010184919044089371
2020-06-15,Midtjylland,2859,1,3.497726477789437e-4,0.0010123590101420571
2020-06-16,Midtjylland,2883,5,0.001734304543877905,8.733214189448159e-4
2020-06-17,Midtjylland,3001,3,9.99666777740753e-4,8.463504562877769e-4
